knljdkfl-1	UNASSIGNED
chcmggnd-1	eehjfmfa-1
chcboeoo-1	ajcbkmii-1
chbmfhjg-1	ajcbmjpc-1
chbneehd-1	ajcclfke-1
chcjlddd-1	eeinggaj-1
chchmfcl-1	eeinjgpn-1
chcaihkm-1	eeiobjja-1
chcijpdj-1	eeinkdbj-1
chcnilbh-1	ajcdndhm-1
cgoaldnb-1	eegglemo-1
cgnllmim-1	ajcekgdd-1
cgnlehlf-1	eejpaklj-1
chapamia-1	eeecpoil-1
cgnekpig-1	eegngbof-1
cgnhmdib-1	eegndego-1
cgnednbd-1	lkngpfjl-1
chaphhfl-1	eegfhmcg-1
cgnhkggj-1	eeglmbdm-1
cgocbcbb-1	ajcgglba-1
cgnkbpkg-1	eegikpnl-1
cfbcgkei-1	iogegamn-1
cfblghph-1	ioffkeaj-1
cfbkgmfk-1	iogedlab-1
cgibeidg-1	ajcidjnn-1
cfghlnen-1	ajchpgpo-1
cfbfejbe-1	ajcihgjf-1
cgiakdeb-1	ioghelme-1
cfbfjoha-1	ajcjccfj-1
cgibncja-1	ioggpofj-1
cfbdejkk-1	ajcjhach-1
cfbeapcd-1	ajcjkadb-1
chcfccpa-1	ajcjnmcg-1
chcfhfjm-1	ajckgpap-1
chcegbjh-1	eejkgjoi-1
chcgggnb-1	eejlacfe-1
chbedmjb-1	eeecclbg-1
chcfmclo-1	eejofmho-1
chcfijoj-1	eejmpkke-1
cgifnabg-1	iofkeaod-1
chbeaafl-1	eekakamh-1
cgigaamk-1	ajcphiij-1
chaolmfk-1	ajcpjlaj-1
cghhbhhl-1	eeelcbcb-1
cghhfimj-1	ajcplgki-1
chanmgbk-1	eeecnckd-1
chbgajog-1	eeeoeoki-1
chankkkc-1	eeecmlil-1
chbeonde-1	eekahnil-1
chbgihdg-1	eeemkjge-1
chbejfcg-1	ajdahjaa-1
chbeojkd-1	ajdalocg-1
chbgdkip-1	ajdbbhek-1
chhinmmk-1	eedcplin-1
chhigoij-1	ajdbifgp-1
cfkkgdjo-1	jkafegil-1
chhkbngi-1	ajdcfgen-1
cfkkkkfn-1	jkaecppc-1
cfkmkjom-1	eecfhbbi-1
cfknbikn-1	jkacpmkm-1
cfbhgkdl-1	jkalpjog-1
cfjjgdng-1	ajdeglod-1
cgeefhmm-1	ajdeifin-1
cgedbkej-1	ajdfchoc-1
kkkbnaae-1	ajdfdpih-1
kkjianng-1	imlbmbjg-1
kldflpoe-1	imknjnco-1
kldjcjlb-1	imkmmbol-1
kldhbfho-1	ajdfniie-1
klcmlbmp-1	imimbigd-1
klcmkkam-1	imiopeig-1
kldhlacm-1	ajdgoide-1
kldechan-1	ajdpbmpk-1
kkjpejim-1	imkcegcc-1
kkjlfjhe-1	iojdbdhp-1
cendoobl-1	ajdljeec-1
cfeadkba-1	ajdhpfff-1
cfecgchf-1	iomnglim-1
cfjbignc-1	ajdipioa-1
cfipnjpo-1	iompcmnm-1
cfipnkdi-1	ajdochjj-1
cendefgn-1	iompcjbm-1
cfinhhei-1	ajdkkcdc-1
cfimkjge-1	ajdlapkn-1
cffmemnb-1	ioinicfi-1
cfibofbe-1	iomopnlj-1
cfhiaoci-1	ajdlpnoa-1
cficccce-1	ajdmbifn-1
cfinkcac-1	iompfcfa-1
cfiipfff-1	ajdmmggh-1
cfipfccn-1	ionckedl-1
cfioapma-1	ajdoglnp-1
cfiimfdm-1	ajdojjkn-1
knffbpnh-1	ajdoljeh-1
kldabomp-1	ajdomcph-1
klddnnmi-1	imklfnel-1
klcoiegj-1	ajiejaid-1
cffbjhhf-1	iongmakb-1
cffenjlp-1	ajdpmdda-1
cffekhhg-1	iolgbncj-1
klcpafea-1	ioiellff-1
cffehmln-1	ajeamcbj-1
klcpnhjf-1	ioifmcjk-1
klcoaooi-1	ioifbfkd-1
klcoeole-1	ioiofefg-1
cfenpida-1	iokcedlk-1
cfegoele-1	iokonhhf-1
cfejhahc-1	iokafkad-1
kmefaboa-1	laimmbel-1
kmdmcadn-1	jhjjijde-1
kmejdfoi-1	ajedlogg-1
kmejacjm-1	laimdocj-1
kmhabeke-1	lajlfddm-1
kmeelijm-1	lailojpb-1
kmehjcgl-1	lailonmo-1
cfeoaeeh-1	iokjioah-1
cfeofgbl-1	iokcfiic-1
kmehibfc-1	ajefhepa-1
kmegmpke-1	ajefoieh-1
kmeghncj-1	ajegeofd-1
kmdohfij-1	ajegjcil-1
kmdnajic-1	lajimfdb-1
kmdnopbh-1	lalcjfia-1
kmjcflpj-1	lakdlfbf-1
kmdmpccg-1	lajinokc-1
cfefgjdj-1	iokmlkdi-1
cfemdadl-1	iokklgip-1
cfelnghf-1	ajehohoh-1
cepanfae-1	iokgbacm-1
cepnfjol-1	iodichdb-1
cfelalio-1	ajeiemck-1
cepnfidb-1	iodibkhe-1
cfedjahk-1	iodhknan-1
kmghbcgn-1	lajkadlk-1
kmeakkpd-1	ajejdnho-1
kmgndhfe-1	alcpidld-1
kmgiiiaf-1	ajejmbko-1
kmggnejj-1	lajjeacb-1
kmgcoieh-1	lakjjgkk-1
kmgepcjm-1	lakikomk-1
kmghpnmp-1	lakjpmma-1
kmgcgjej-1	lajbakhb-1
kmgklkke-1	ldckdeej-1
kmebaaba-1	lailcmfd-1
kmfpfkad-1	jhjfppmp-1
kmgaheha-1	laikplmf-1
kmgaegai-1	ajemcnee-1
cemmebjh-1	iolncleo-1
cemlkdgh-1	iolmdkjn-1
cemjkooa-1	ajenpknk-1
cfcdkpoh-1	ajeocceg-1
cfegajka-1	iokphkpp-1
cfdpdega-1	iokpojgp-1
cfcdakcj-1	ajepdjio-1
cencohpg-1	iollepjg-1
cemifoef-1	ajfadjjm-1
cenfdacp-1	ajfaedog-1
cfdpccpf-1	ajfagnii-1
cfdpjijn-1	ajfajlif-1
cendcamm-1	iojhgkfk-1
ceniehka-1	ajfaljle-1
cfdmmfpd-1	ajfaolkd-1
cfeobkfl-1	iokignmo-1
cfdloigo-1	iokhcomb-1
cfbmkhjo-1	iojokofg-1
cfekkjdm-1	ajfblbjj-1
cepblael-1	iogfkijj-1
cfdihjdp-1	ajfcgkda-1
cfbjbkhd-1	iogjngod-1
cfdlgnkb-1	ajfcibjg-1
cfdlgbcf-1	ajfdcekp-1
cfbcmmhf-1	ajfdhnnn-1
cfdmgadj-1	ajfdibbi-1
cfdmohlh-1	iokhgknf-1
cfdmnlfm-1	ajfdoboo-1
chgfnllj-1	ajffhebo-1
cfdajhhp-1	jkbjanca-1
cfaaihfc-1	ajffkeep-1
cfamlcjg-1	ajfflcgh-1
cfapencj-1	ajfgkopd-1
cfalelpm-1	ajfhbodn-1
cfamennl-1	ajfhcfoe-1
cfafnnhp-1	ajfhkpgk-1
cfahcncg-1	ajfhmkja-1
cfagneak-1	ajfiaiin-1
cfaccfeh-1	ajficaam-1
cfaaiekg-1	ajfiggak-1
celijdcj-1	jkbojjmo-1
cempedhf-1	iolojcga-1
cfbpemol-1	jkcacapb-1
cfbpemeo-1	ogmgocom-1
celmikod-1	jkapgdnb-1
cfdbphic-1	jkbikabk-1
cfdopfdj-1	ajflmmjl-1
celjfoac-1	jkbgaeeg-1
klpjhokm-1	ajfnfdhc-1
klmhammd-1	jjdioeih-1
klpkelck-1	ajfodhkj-1
klmbbbmo-1	jjdfpefg-1
knakaoao-1	ajfojbcg-1
klmacmge-1	jjdegpei-1
klmamkcm-1	jjfajgpl-1
knafjapd-1	ajfphgjn-1
knbknkpl-1	jjfdlpom-1
klmlacig-1	jjfkjcig-1
klmkknmh-1	ajfplnbb-1
knapflig-1	jkebnpam-1
kncoinaa-1	jkckgmij-1
kncoiiek-1	jkechbbd-1
knamipcl-1	jjlejdee-1
knamkede-1	jjledfag-1
knaongio-1	jjlcjnog-1
knecmfgl-1	jjebdhej-1
knbanjaa-1	ajgcbehe-1
knegggkg-1	jjdplkpd-1
knappffj-1	jjkphddb-1
knapchlc-1	jjedkcje-1
knekccmn-1	ajgcpeld-1
knamopcn-1	jkebblgf-1
knbfnkad-1	jjkjpipb-1
knbgjffc-1	jjkinkao-1
knbhjlnd-1	jjkglgcp-1
knbhcmpf-1	jjkiejnc-1
knbginol-1	ajgdpfbi-1
knbgikma-1	jjdfonhl-1
knagmhhi-1	ajgecfbi-1
knaggoji-1	ajgefhce-1
knbcmdjo-1	ajgfgjej-1
knbjiele-1	ajgendmj-1
knbiojbp-1	ajgfaoie-1
knahechm-1	ajgfjejo-1
knahjodf-1	ajgfkpjj-1
knbgghnc-1	jjkcciji-1
knbdfjpe-1	ajggofmp-1
knbaofjn-1	ajggfjpj-1
knbhjfjc-1	ajghagcm-1
knbgncgn-1	jjkgohjd-1
kmppdkmj-1	ajghffmc-1
kmppdddj-1	jjfnlohb-1
knbekkan-1	jjkbakmn-1
kmpppdge-1	jjkdodjl-1
knbefdje-1	jjepgohg-1
knbehocj-1	jjkebaaj-1
knbhpcko-1	ajgjeimf-1
knbhbgle-1	ajgkakge-1
knbikckf-1	jjkdcmmh-1
klmfehjk-1	jjdhagdh-1
knckeice-1	jjdlobmc-1
klmecbjp-1	jjdhjabi-1
knghdkia-1	jjdpdngm-1
kncjebga-1	jjeijiid-1
knciinnc-1	jjcfbjll-1
knckfbpb-1	jjeiidgk-1
knckceij-1	jjejhbhg-1
knghigha-1	jjdonbca-1
kngfkbjj-1	jjdigkfn-1
kmppjppa-1	jjkdhhho-1
kmpmllel-1	ajhaemfi-1
kmppfkad-1	jjkejofd-1
kmckmghb-1	ajhbpejb-1
kmconbhd-1	ajhalgkn-1
kmcoecjm-1	ionidapc-1
kmcmhjio-1	ajhbeagl-1
cffplelm-1	iojcakgb-1
cffjoebe-1	ajhcilhi-1
cffiokal-1	ajhcfhan-1
cffobcah-1	ioinhehg-1
kkkpangd-1	ajhemgen-1
klgopnci-1	iojemnnb-1
klgnpkfj-1	ajhdoekf-1
kklaffng-1	imkdembo-1
kmpoinoi-1	jjfoifhk-1
kmpfnfec-1	ajhenfon-1
kmpljlfc-1	ajikgbnf-1
knadlipm-1	ajhfalih-1
kmpnekoc-1	ajhfopnm-1
kmpmnijh-1	jjgeiepe-1
kkipkpan-1	ajhgbjbh-1
kkjdbpnc-1	ajhgfgcd-1
kkjaafck-1	ajhgmhld-1
kkkkgclj-1	ajhhnnln-1
kklmdfan-1	imjocckm-1
kkkglcia-1	mlkpmlij-1
lmjppmao-1	mllbbckf-1
kkkkfehm-1	mlmcbphk-1
kkkmdpga-1	mlmcgmhb-1
kkkmgmob-1	mlmcgfgl-1
kkkkaedf-1	ajhiidje-1
kkmjfeoa-1	ajhiijmb-1
kkmiopmj-1	ajhikein-1
kklpflde-1	mlmjhbbf-1
kkkobble-1	mllngfoj-1
kkkmkjde-1	ajhinkha-1
kkknmpfj-1	ajhjnhhd-1
kmojidkf-1	ajhjigga-1
kkkkjoho-1	ajhjkgnh-1
kkknfmlp-1	mllngoii-1
kmphclej-1	imkpnbga-1
kkkbjcig-1	ajhkckfb-1
kkjjfkmp-1	ajhkfbae-1
kmphfmme-1	jjggpehp-1
kmphdlai-1	imlabghc-1
kkjjdmpa-1	imkomajj-1
kkkbgehl-1	ajhmemcc-1
kkkbjpnm-1	imlfeigi-1
kkjjclia-1	mlkafiph-1
kkkekcen-1	ajhndeel-1
kkjjnodb-1	mllmgohb-1
kkjdeekn-1	mlkdjbij-1
kkkeafgn-1	mllbgmgn-1
kkjdhjlj-1	mlkinocg-1
kkikpela-1	jjgiaanb-1
kmplpggg-1	jjgdaiae-1
kmpljejg-1	jjghddie-1
kkiinheo-1	jjgfgdoj-1
kkinfenp-1	jjhaclap-1
kmpjikhk-1	ajiakkad-1
kmpijmnc-1	ajiaoccb-1
kkillhbk-1	jjhapcpc-1
kmpjolop-1	jjglfpca-1
knfkgmee-1	ajicgghg-1
knfabjka-1	ioiagdnd-1
kkimbmlf-1	jjgpejpm-1
knfddmpj-1	ajidecpo-1
knfjepfa-1	ajidhnnf-1
knfeehik-1	ajieflag-1
knffdmmf-1	ajieohba-1
knffbofh-1	ajifkhgl-1
kldhcalk-1	ajifolkl-1
knfjheoa-1	iogkkian-1
knfiodge-1	imiohmij-1
cemgfoao-1	ajigfjni-1
cembblfi-1	ajigjocd-1
cembeneo-1	ajigmokm-1
ceocfimg-1	ajihbcfg-1
cemfimll-1	ajiifodj-1
cemonlnl-1	iolgpepc-1
cenpmnjj-1	iolffjoa-1
cengbllb-1	iomcckkg-1
cemdkmme-1	ajiifahb-1
cemdepld-1	ajiifggd-1
cemdhgna-1	ioiacled-1
kmopfapf-1	ajiiglke-1
knebcdop-1	ajiijjle-1
knehhhle-1	ajiilici-1
cemglikg-1	ajijaecf-1
ceoipbga-1	ajijdgjb-1
kndnhped-1	ajijggjn-1
knfbbcbj-1	ajijmmph-1
knfbbpbl-1	ajijofah-1
kmonfnem-1	jjglehfj-1
kmpjmfaa-1	jjfpkmbc-1
kmpkiomh-1	jjfoalfc-1
kmpcdaal-1	iohjifoh-1
knfkmcdm-1	ajilgjhp-1
knfijeci-1	iohljfog-1
kneccmog-1	jjebgeme-1
kmpckklm-1	jjebmaja-1
kmpnhlnk-1	jjfnnlom-1
kmpnlhkh-1	jjfofaco-1
lnbbhgpb-1	mmeibmad-1
lnbcdnaj-1	ohpdakpm-1
lpeghljd-1	mmfjhjob-1
lpehnkff-1	mmecapki-1
lpealomj-1	ajioamdn-1
lpehmnej-1	mmakedlf-1
lpehniof-1	ajiodofc-1
lpeidnge-1	ajiohgaj-1
lpehpigi-1	ajioidge-1
lpehkggk-1	mmfmldbd-1
lpejbchi-1	mmedhoak-1
lpffmjja-1	mmdfjmph-1
lpedbije-1	mmddfbjb-1
lpfakmdm-1	mmdheoaj-1
lpdlffao-1	ajjanonj-1
lpdmiepc-1	ajjbagbi-1
lpdkhkib-1	ajjbganp-1
lpdlpgpd-1	mmdhnfnj-1
lnaglkie-1	ajjbkple-1
lpdpmkkl-1	ajjblhfi-1
lpdpiaam-1	ajjbnpod-1
lnamcfce-1	ajjcckeo-1
lpdpkfpf-1	mmdhmoma-1
lpfhbgog-1	ajjcdgfk-1
lpelkdpi-1	ajjcilkb-1
lpfkbdfe-1	mmbilhpg-1
lpfkafna-1	mmbikbei-1
lpfhbhno-1	ajjcnpjl-1
lpfhhfao-1	ajjdcnio-1
lpfkcjff-1	ajjdjkbg-1
lpfjiepe-1	ajjdkmae-1
lpekhbgf-1	mmflojlc-1
lpfbkcfg-1	mmdfgehc-1
lpfbfcop-1	mmbillmh-1
lpfamgoc-1	ajjfbpko-1
lpfngnma-1	ajjfcjhg-1
lpelpenm-1	ajjfcjip-1
lpfhmkip-1	mmbkfojb-1
lpfiaelb-1	mmbcnoae-1
lpgaljmj-1	ajjfhkoo-1
lpgcflhd-1	mmfmllgm-1
lpgakcej-1	ohpackid-1
lpejkecg-1	ohpddcde-1
lpggkhci-1	ajjfladn-1
lpddpejg-1	mohijoad-1
lpgpabck-1	ajjfmchd-1
lphpbnkf-1	mokodkpp-1
lphpbmmf-1	mokoanel-1
lpgejhge-1	oiaahfcn-1
lpgejeao-1	ajjgibhd-1
lphonlie-1	moknboko-1
lphopogn-1	ajjhdgkd-1
lpgfephg-1	mokkbmpm-1
lpjfdamh-1	oiaadkfp-1
lplhngdi-1	mokcfhhd-1
maalokld-1	mokcbccb-1
lpgjjcii-1	mojofhhd-1
lpgomkjn-1	oiaaehdd-1
lpgnbijo-1	mokepeia-1
lpgodobi-1	mokgnbpk-1
lpefgdnk-1	mlpnlaba-1
lpefkioh-1	mmejciee-1
lpddhefk-1	moiahlnn-1
lpefejbb-1	mohpmlim-1
lpeffago-1	mmfofcad-1
lpefcbdl-1	ajjokpno-1
lpeenjpk-1	ajjopfol-1
lpegggpg-1	mmejmigk-1
lpehihih-1	ajkblohc-1
lpgnpeaa-1	mmaicjab-1
lpgnpfcn-1	mmagpojh-1
lpgdgdin-1	ajkdkofp-1
lpgcpiin-1	ajkeemhi-1
lpgnhhnl-1	ohoplnno-1
lpfnkgjc-1	mmahdmfp-1
lpgnjann-1	mmagofmg-1
lpgljmag-1	mmflegkj-1
lpgoafep-1	mohnndlg-1
lpgofnje-1	mlpincao-1
ogppbdkh-1	ajkinjbg-1
ohabeppk-1	inoeindj-1
ohafjkln-1	ajkjccel-1
ogpmkbok-1	inpbblpb-1
ogpgbjpl-1	ajkjfbfe-1
ogpomgoj-1	ajkjmmpi-1
ogpoagch-1	inpbjain-1
ofcemfoj-1	jilnpheb-1
odadcfpf-1	jilmjnfh-1
odaealma-1	jilnnfgd-1
obfckhdh-1	jillnekk-1
obejlifc-1	lcmbikkg-1
obekeahm-1	lcmabgme-1
obeieknh-1	ccilbhfe-1
obejcgkb-1	ajklbmlf-1
obehkhfj-1	ajklddcp-1
obeiahpf-1	ajkleipn-1
oaheiead-1	lblhinbn-1
oahcopjc-1	akcncmoc-1
obegpnfi-1	ajklhnmg-1
obepppji-1	ajklknjc-1
obdmgkjn-1	ajklmcbm-1
obepidbh-1	ajkmbifl-1
obdkndgd-1	lclmfbgb-1
oagoafff-1	ajkociil-1
oahflgpa-1	lcllohik-1
oagojkco-1	lcmajaci-1
oahhjkpa-1	lclmfaef-1
oahfjgoi-1	ajkoiclg-1
obfdicmp-1	iobhicfg-1
obdkcpmf-1	ajkojehl-1
obdjpbad-1	jilfcmfg-1
obfgemip-1	ajkpaghj-1
oagmgkho-1	ajkpakbh-1
oaihdelf-1	ajkpfocc-1
oaieknkk-1	lcnechlp-1
oaiellel-1	jikpcjmm-1
ohaimflf-1	ajlagccp-1
obencdam-1	jilccdhg-1
ohajgfjo-1	ajlapeje-1
oagnnhea-1	ajlbabhm-1
ogplnjhi-1	inoehilc-1
ohbklmnp-1	ajlbjgdn-1
oggofhdl-1	lcoagkgp-1
ogcbdmil-1	lcnpdgkm-1
oggfnbgm-1	ajlccmkf-1
oggflihm-1	ajlcecao-1
obdflbdc-1	ajlcejki-1
ogflbpek-1	lbkldoop-1
obdfikan-1	ajlcommb-1
oagdepfk-1	ajlconlg-1
oaghnpag-1	ajldaipn-1
oagjoana-1	lbkejkkl-1
ogceffbf-1	lcdjegln-1
ogcegfid-1	ajldloik-1
ogcemlec-1	lcdlkafb-1
kdjnmjop-1	lcjdjinf-1
kdmogcfa-1	lbgggdnm-1
kdjmonkl-1	lcipicbp-1
kdkcknko-1	lcjpfleg-1
kdmmbgah-1	lcjijkfm-1
obhgljpb-1	lcjolkgf-1
kdkdnkbj-1	lckabhmo-1
kdkbpebo-1	lcjndepo-1
kdjocfoh-1	lcjdjbjl-1
kfclkdbg-1	lcihdakk-1
kdkapphb-1	lcjmjepp-1
kfcobdnb-1	akdepfgh-1
ogbceoig-1	lbjakaho-1
ogcinhfj-1	ajlihabf-1
ogcidfmo-1	lcooanie-1
ogbbjepb-1	ajljdjhd-1
obgdfiaa-1	lcdgblkj-1
obgdjggc-1	lbilkkkl-1
ogcfiinc-1	lcdlhhac-1
ogcfkfan-1	lcdbndkm-1
ogcijeki-1	lcdcjebl-1
ogcemmhf-1	ajlkiikg-1
ogceacfa-1	ohelhdna-1
ogcdpima-1	lcdmdlag-1
ocidlggn-1	ohekchdh-1
ogapkgcd-1	lbjekdnk-1
obfmaahd-1	lbmipeee-1
ogaplgam-1	lcopmbee-1
ogapcngo-1	lcpcahmg-1
obflpimf-1	lbjbickc-1
ogaoicfd-1	lcpbclec-1
ocifbkmg-1	lbjcnpen-1
ogaogbab-1	lcpbaehc-1
ogbokhcl-1	lcpalcna-1
ogfdkclg-1	ldacmcbd-1
ogfilgbl-1	ajlpjbkh-1
ogfipafm-1	ajlpkchf-1
ogbcllde-1	lbjfjmjb-1
ogbfciac-1	ldabkpfl-1
ochiplen-1	lbkimcap-1
ogbfflnn-1	ldabajla-1
ogbfipdk-1	lcpdpogk-1
obahaopd-1	immnaifp-1
obagahlc-1	imnnphna-1
obadjadi-1	ajmbancc-1
oapifabn-1	immpnjgk-1
obfjbdim-1	ajmbjgne-1
oeiddfci-1	jdadabhg-1
oeidepgi-1	jcpikgml-1
obahenef-1	immfajgj-1
oapijnmg-1	immmkkmb-1
oackbaph-1	ajmcnjai-1
oabljobm-1	ajmdddfj-1
oablihdm-1	inahcaga-1
obacfief-1	oghgmkjc-1
ofddpfch-1	jioikcdf-1
ofdkkhoi-1	iockfpfd-1
oapmamde-1	iochanmi-1
oapmiadm-1	ajmfdanh-1
ofcdkmbd-1	jipeoemo-1
ofcebejj-1	ccjpicdm-1
ofceehih-1	iocghekl-1
oapklbmj-1	ajmfoibi-1
ognogelo-1	ajmfpbjp-1
oapmdijf-1	iocggmfp-1
ogojpnhm-1	iocgahnf-1
oapmdole-1	iocoikpp-1
oaphjobg-1	immoenih-1
oapoemfl-1	ajmghflb-1
oappijpe-1	ajmgoebm-1
oapjeihm-1	immpeame-1
oapiiggh-1	immkjkmj-1
oapneilj-1	ajmjgmke-1
obacfhkd-1	iocjboli-1
obaapalm-1	immfbndc-1
obaailcc-1	immiepfk-1
oapmilga-1	imnefdpa-1
lplkoian-1	moiekole-1
lplkkfpd-1	moidciel-1
lpllijgc-1	ajmlhkoa-1
lplllkde-1	ajmlkdpp-1
lplmdglp-1	moinglhl-1
lpllmepn-1	moiiaabd-1
lpplifif-1	ajmlldgl-1
lpfpfeic-1	mnnicghc-1
lppmjaim-1	mmbkfbhb-1
lpopbclp-1	mnoobgpl-1
lpepcpjj-1	mmdbjlii-1
lponmkkj-1	ohpmkogh-1
lpopfoga-1	mmblopip-1
lponnkbe-1	mnopjdhp-1
lpoobapc-1	mnopedof-1
lponljje-1	ohpmojai-1
lpphfnmj-1	mnnidpbp-1
lppilmge-1	mnodgnio-1
lppigbba-1	ajmnnihf-1
lpfkeamg-1	ajmocpgn-1
lppjlnpa-1	ajmoffjf-1
maalfeok-1	mnkfbnej-1
maakcjoe-1	ajmopkhe-1
lppkalan-1	mnnlamgb-1
lpfmlmkp-1	ajmphghp-1
lppmjelo-1	ajmpoecp-1
lpplcmlj-1	ajnahlmp-1
maahhaej-1	ajnalgop-1
maaiaebl-1	ajnapdgb-1
lpljabhe-1	mnkgafnm-1
lpljiopj-1	moieheim-1
lplkapjo-1	oiaacmme-1
npiflgnp-1	ldimmahi-1
lpooafmk-1	mnokkomf-1
lppaopbb-1	mnooalnb-1
lppjeafh-1	ajncmnho-1
lppcdlcd-1	ajncnbbm-1
lpljpglb-1	mnkgecdi-1
maaikdgk-1	ajndgmoj-1
maaihpii-1	ajndhmnb-1
maaoecpc-1	mnkagcfc-1
lpliecbf-1	mnkhhida-1
lppogkhb-1	mnobiopa-1
maanmnmi-1	ajnflfim-1
lplljpkp-1	ajngkjhm-1
lplicdml-1	moilicbi-1
lplhamfg-1	moicfkmg-1
maajmalc-1	mnkeempa-1
maalkpnb-1	mnkeibdd-1
lplhbiil-1	moidbefe-1
lplacdoc-1	mnlbfekd-1
lplbfknh-1	ajnkknek-1
lpjodieh-1	mocnadkc-1
mbmlkahi-1	ajnlalje-1
lplacmbk-1	ajnldlfo-1
lpcfjeib-1	moedgjfe-1
loojmblm-1	moefgdka-1
loojfhfd-1	ajnllmcb-1
lnfdhjhh-1	mohhidfh-1
lpckajcc-1	mohhpbgj-1
loojfebk-1	mohbcfbb-1
mbnblodo-1	mpaojcch-1
lnemnoig-1	ajnmobnm-1
lpklenbj-1	ajnnelfg-1
lplbmegj-1	ajnnhjle-1
lpkjjgii-1	mofjaklo-1
lpkildlf-1	mogmnflb-1
lpkjiifm-1	mnpkhpil-1
lpkibcgo-1	moghlejj-1
lneklmob-1	ajnpcoho-1
lnekcolo-1	moghpgmn-1
lpciggbo-1	mnjgnmfi-1
lpcilkkg-1	ajnphjnh-1
lpcinnad-1	mnjfimom-1
lpcpghgm-1	moenpkib-1
lpcphpfi-1	mmpibmbm-1
lpcpiipf-1	mmpjfiga-1
lpdaelke-1	mofagjpo-1
lpcjkcmj-1	ajocooch-1
lpchanoh-1	mofidcbk-1
lpcjbggg-1	moecjjpe-1
lpdaebgp-1	moeplend-1
lpdakehp-1	modpehmi-1
lpcohpkj-1	mnjhbfed-1
mccdgekd-1	moedepfb-1
lngailef-1	ajoefmmd-1
lngmkiip-1	ajoenhak-1
lobbgmad-1	ajofiphe-1
lobcfieh-1	mneohcii-1
lobbejed-1	ajogbfoo-1
loalffbo-1	ajogdjej-1
lobehkdc-1	mnngnjle-1
lobgmncl-1	mnmmgijd-1
loapnlhe-1	ajogkkeh-1
lngcdfin-1	ajogmckn-1
lobdfogc-1	ajogmpmh-1
loapiiac-1	mnneolej-1
oaancgel-1	ajoiebhf-1
oaapgnfm-1	ajokiilc-1
oabbdnjn-1	ajoihlij-1
oadahkke-1	impfgdji-1
oaomgmfi-1	imnoaibm-1
oaefhggp-1	immcgnbk-1
oaonldka-1	imnmnmjc-1
oaefhkoo-1	ajojdiib-1
oaekjofd-1	inadpbfb-1
oabaihpl-1	ajojokec-1
oabahdao-1	ajokfeob-1
oabbgaph-1	ajoopofa-1
oaalbial-1	inagpmeh-1
oaafbdln-1	ajoknmpo-1
oaaofpog-1	ajolagna-1
oaajpffc-1	ajoldmna-1
oabnnlnh-1	ajolggcp-1
oaalnace-1	ajoljnlh-1
oaakgmpg-1	ajommide-1
oaamjakj-1	ajolklhf-1
oabccehb-1	ajolmjec-1
oabhnopo-1	impkjgcm-1
oabdnahc-1	ajonjpol-1
oabcjlff-1	impnkaeg-1
lobnnkol-1	mnmhobnf-1
lpjpfeac-1	mnplgkoi-1
lpoheiae-1	ajoocnmj-1
lpjpfcpn-1	ajoofjln-1
lnpkonng-1	moafdnjg-1
lnpmdojm-1	mobdlmgn-1
lnenlgfl-1	moghaenm-1
lobjpmnb-1	mnmlgpkn-1
lobmiohc-1	mnmefafe-1
lobkiocm-1	mnmkojda-1
lpkbgbld-1	ajpbljba-1
lpkannpn-1	moammjef-1
lpkbjefk-1	mnpjhhge-1
maadpmbf-1	modialfe-1
lpndpefi-1	moddaane-1
lpnegbfk-1	modijmej-1
lpnidedi-1	mnpofcjk-1
lppfbiim-1	mnpgaoid-1
lppcljah-1	mnpgeidm-1
lpokdmci-1	ajpdmdho-1
lpnkkeoa-1	mnpmmcpi-1
lpnkhkec-1	mnpmpgdb-1
lpnkilgi-1	ajpeplno-1
maaecnpa-1	modhfgeb-1
maagdlhh-1	mockgjfg-1
maacdekn-1	ajpfnbjl-1
lpohjnkn-1	moblphmh-1
lpoglcdj-1	mobkmfme-1
lpoholof-1	ajpgpple-1
lpohmgkf-1	ajphcklc-1
lpobljdj-1	ajphfgmg-1
lpobegge-1	moabjldc-1
lpoakbef-1	mobiapdn-1
lpoeppel-1	ajpijkjf-1
lpoelefh-1	ajpijocg-1
lpofalfi-1	mobnngci-1
lpoadcja-1	mochkdlm-1
lpoamkof-1	mobjobce-1
lpnihdib-1	ajpjllpf-1
lpoichoj-1	ajpkkcif-1
lpmhhmfe-1	mnkifmem-1
lpmnnahm-1	mnkidaac-1
lpnhagpd-1	mnladdnn-1
lpnfgdcf-1	mnlcacdm-1
lpnhjeml-1	moancgol-1
lpnbfckl-1	modappoc-1
lpnhbmkk-1	mnldcpne-1
lplgbbcn-1	ajpnneog-1
lplfmjim-1	moijfafb-1
lplfpmbj-1	ajpodjom-1
lpngihhn-1	modilmkl-1
lpngghnd-1	ohpofmag-1
lpngoehm-1	modidfnn-1
lpmokkmo-1	ajpokphl-1
lplfbghc-1	mocjefpb-1
lpnegbph-1	modjcffk-1
lpjdojki-1	mnlhmlge-1
lpllckol-1	ajppocdl-1
lpjdnplp-1	moijfeia-1
lpjdmbod-1	akaafjol-1
lpjedjgb-1	mojacmom-1
lpjecgpj-1	moijppoa-1
lpjhakii-1	mpdndmkc-1
lpjidfca-1	mpdmjink-1
lpjgbkam-1	mokpgbgj-1
