knljdkfl-1	UNASSIGNED
ahmdlclk-1	aaddbeag-1
ahmgecie-1	cmnicfge-1
ahpklego-1	cmpkdncj-1
ahpmgnlk-1	cmolalfc-1
ahmjdehj-1	cpbmknne-1
aiejenpi-1	cpcaolbm-1
aidlehag-1	cpbaodbb-1
aieggpco-1	odjoomim-1
aiegalgf-1	aadehcbb-1
aidlapng-1	aadehimj-1
aiecccea-1	aadejhfl-1
aignmmac-1	aadeojfi-1
aikmchfo-1	aadfdnop-1
ailappbo-1	aadfkgch-1
aiklnhoc-1	comgjnmb-1
aiendckl-1	aadgbnpj-1
aifgpndd-1	coockonp-1
ahceejdj-1	cmchefkn-1
aignogmk-1	aadgfhcf-1
aiencbgn-1	aadggkca-1
aiepngmg-1	aadghgkg-1
aifpfbfa-1	aadhacbf-1
aiihicfn-1	aadhhfmh-1
aidooncd-1	cpacldfk-1
aijjkkla-1	aadhmfgo-1
aiihjmfi-1	copjjjmp-1
aijnhdkk-1	aadhpefo-1
aikgnane-1	coojgpbl-1
aikjcakm-1	copgijba-1
aikiabob-1	aadjbokh-1
aikjaokj-1	aadjcana-1
adjfoflf-1	odjhjbcg-1
cjihcmli-1	odjilaml-1
aeobdefm-1	odhnjnel-1
adfjalgi-1	aahdpigj-1
adpdmphc-1	chpolbgd-1
aedjmkci-1	aahehapj-1
adfjpjpk-1	aahehkhk-1
adpcgiem-1	aahekehf-1
adodofmo-1	aahfclpe-1
adoemjii-1	choklnbn-1
adofgihg-1	cholaaab-1
adoniaib-1	aahfecha-1
adoegkop-1	aahfhmem-1
afbpalbk-1	aahfpfna-1
afbnjhno-1	aahfponj-1
afboklin-1	aahgikah-1
aebdjmae-1	aahgjhfk-1
adkkiihl-1	aahgkmlb-1
aecigpgo-1	aahhanbi-1
aecnnkmd-1	aahhbmoo-1
aebeggid-1	aahhdega-1
aebbnpnd-1	aahhdnok-1
afebgjcj-1	aahhkbjh-1
afeacgbf-1	aahhfihc-1
afebchpp-1	aahhkggj-1
adidljak-1	cggcjbpf-1
adiccdpc-1	odhfdmgh-1
adioabab-1	cgffhkkn-1
acomkcjl-1	cgmndhef-1
adlekcda-1	ceokihia-1
adlkjfeg-1	odhefgci-1
adlfcdgc-1	cgpacopn-1
adnnddhg-1	aahoebda-1
adnnofbn-1	aahojfne-1
adglfmih-1	aahokanf-1
adihedni-1	aahpbhmj-1
adifhlom-1	aahpcmjc-1
adigjjka-1	aahpidjf-1
adjgcdfh-1	aahpkjnf-1
adibgfaa-1	cgenloho-1
adjglhda-1	chpfcmgg-1
